date,gname,longitude,latitude,value,attype
2017-01-20,Islamic State of Iraq and the Levant (ISIL),42.830044,36.283566,10.0,Bombing/Explosion
2017-01-20,Islamic State of Iraq and the Levant (ISIL),42.749943,36.206371000000004,10.0,Bombing/Explosion
2017-01-20,Islamic State of Iraq and the Levant (ISIL),43.977643,33.357971,1.0,Bombing/Explosion
2017-01-20,Islamic State of Iraq and the Levant (ISIL),37.578056,36.409167,5.0,Bombing/Explosion
2017-01-20,Islamic State of Iraq and the Levant (ISIL),37.508010999999996,34.520092,7.0,Bombing/Explosion
2017-01-20,Taliban,64.557778,36.034444,3.0,Armed Assault
2017-01-20,Taliban,64.76365899999999,35.598206,2.0,Armed Assault
2017-01-20,Taliban,65.482079,36.303825,2.0,Armed Assault
2017-01-21,Boko Haram,12.843024,13.483374,2.0,Facility/Infrastructure Attack
2017-01-21,Al-Shabaab,41.321339,2.672385,2.0,Armed Assault
2017-01-21,Al-Shabaab,45.500640999999995,2.7772639999999997,2.0,Bombing/Explosion
2017-01-21,Al-Shabaab,42.97707,2.405815,4.0,Armed Assault
2017-01-21,Al-Shabaab,43.64658,3.115641,0.0,Bombing/Explosion
2017-01-21,Taliban,68.745306,36.178903000000005,0,Armed Assault
2017-01-21,Taliban,69.56666700000001,34.966667,3.0,Unknown
2017-01-21,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Bombing/Explosion
2017-01-21,New People's Army (NPA),120.6083,17.081516,0.0,Hijacking
2017-01-21,New People's Army (NPA),120.6083,17.081516,0.0,Hijacking
2017-01-21,Islamic State of Iraq and the Levant (ISIL),38.659325,33.325053999999994,11.0,Bombing/Explosion
2017-01-21,Sinai Province of the Islamic State,32.655393,29.864917,0.0,Bombing/Explosion
2017-01-21,Sinai Province of the Islamic State,32.655393,29.864917,0.0,Bombing/Explosion
2017-01-20,Islamic State of Iraq and the Levant (ISIL),43.281158000000005,33.435279,4.0,Unknown
2017-01-21,Kurdistan Workers' Party (PKK),37.954094,36.528557,0.0,Bombing/Explosion
2017-01-22,Sinai Province of the Islamic State,33.785694,30.4653,5.0,Armed Assault
2017-01-21,Islamic State of Iraq and the Levant (ISIL),35.503513,33.888523,0.0,Bombing/Explosion
2017-01-22,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Armed Assault
2017-01-22,Khorasan Chapter of the Islamic State,70.617265,34.162774,2.0,Unknown
2017-01-22,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,1.0,Bombing/Explosion
2017-01-22,Maoists,83.451666,18.965838,34.0,Facility/Infrastructure Attack
2017-01-23,Al-Shabaab,45.118061,2.14383,5.0,Armed Assault
2017-01-23,Al-Shabaab,44.078559999999996,2.798167,2.0,Bombing/Explosion
2017-01-23,Al-Shabaab,41.844707,3.938715,1.0,Bombing/Explosion
2017-01-23,Taliban,69.15,36.216667,5.0,Hostage Taking (Kidnapping)
2017-01-23,Boko Haram,13.280555999999999,10.855833,3.0,Hostage Taking (Kidnapping)
2017-01-23,Maoists,81.659273,18.391134,0.0,Bombing/Explosion
2017-01-23,Taliban,69.246111,36.216667,4.0,Armed Assault
2017-01-23,Islamic State of Iraq and the Levant (ISIL),43.473259000000006,33.683265999999996,1.0,Bombing/Explosion
2017-01-23,Islamic State of Iraq and the Levant (ISIL),44.038208000000004,33.31065,0.0,Bombing/Explosion
2017-01-22,Islamic State of Iraq and the Levant (ISIL),42.254261,32.04298,2.0,Hostage Taking (Kidnapping)
2017-01-23,Maoists,80.379766,18.633597,0.0,Facility/Infrastructure Attack
2017-01-23,Maoists,85.56121,23.652368,1.0,Armed Assault
2017-01-24,Al-Shabaab,45.116717,2.142623,3.0,Bombing/Explosion
2017-01-24,Khorasan Chapter of the Islamic State,67.143311,24.891115,1.0,Hostage Taking (Kidnapping)
2017-01-24,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,2.0,Bombing/Explosion
